A       一
AA      二
AAA     三
AAAX    貳
AAC     示
AAD     亍
AAE     亓
AAES    虣
AAEX    武
AAE,    鵡
AAJH    瓷
AAJK    次
AAJM    資
AAJN    恣
AAJV    栥
AAJV    秶
AAJV    楶
AAJW    姿
AAJX    餈
AAJ;    咨
AAJ,    粢
AAS     元
AASE    刓
AASM    頑
AAST    邧
AAST    黿
AAX     云
AAXX    魂
AC      下
ACN     忑
AD      丁
ADAM    頂
ADS     屯
ADSG    丏
ADSM    頓
ADSN    迍
AE      正
AE      耳
AE      丌
AEA     亞
AEAD    耵
AEAE    聶
AEAE    聇
AEAE    聑
AEAE    聏
AEAM    顳
AEAN    惡
AEAR    堊
AEAT    鄢
AEA/    蝁
AEA,    焉
AEB     取
AEBK    聚
AEBT    鄹
AEBT    郰
AEBV    棸
AEBW    娶
AEBZ    聧
AEB,    焣
AEE     刵
AEG     丐
AEIB    聆
AEIG    耹
AEJR    聃
AEJS    耽
AEJY    聸
AEKB    聬
AELN    聽
AELN    聰
AELQ    毦
AEL;    聒
AEN     恥
AEND    聹
AENQ    聜
AEOJ    聊
AEPG    聘
AEQX    聝
AER;    聐
AES     耴
AET     耶
AEXB    聈
AEXW    聯
AEYD    聤
AEYX    職
AEZX    耾
AE.     政
AE;M    聵
AE;R    聖
AE,     耿
AE,X    褧
AF      干
AF      于
AFAF    幵
AFAM    頇
AFAQ    麉
AFA,    烎
AFE     刊
AFE     刑
AFER    型
AFKY    雃
AFL,    鳱
AFL,    鳽
AFN     迂
AFO     臿
AFOK    歃
AFT     邢
AFT     邗
AFT     邘
AFU     盂
AFX     戒
AFX     戎
AF.     形
AF;     舌
AF;A    甜
AF;C    舔
AF;N    憩
AF;R    舑
AF;S    舐
AF;,    舕
AF,S    覝
AGA     与
AG.     攷
AG;A    亟
AI      平
AJD     巿
AJDK    兩
AJEA    襾
AJHN    邐
AJHQ    麗
AJHT    酈
AJH,    鸝
AJK     丙
AJKT    邴
AJR     再
AKJH    璽
AKJN    邇
AKJ.    爾
AKJ,    鸍
AL      万
ALJE    而
ALJE    奡
ALJH    耐
ALJN    恧
ALJW    耍
ALJX    戛
ALJZ    耎
ALJ.    夏
ALJ.    耏
ALJ.    夒
ALJ,    鴯
ALM     頁
ALP     百
ALPE    面
ALPP    皕
ALPS    靦
ALP/    蠠
ALUT    鄾
ALU.    憂
AM      歹
AMA     亙
AMAA    殭
AMAA    殛
AMAQ    殌
AMAX    殘
AME     列
AMEN    迾
AMEW    姴
AMEX    裂
AME,    烈
AME,    鮤
AME,    鴷
AMFA    殖
AMFH    殏
AMFS    殑
AMIK    殮
AMJZ    殃
AMKX    殲
AMKX    餮
AMK.    殄
AMLB    歿
AMLH    殠
AMLP    殉
AMLU    殈
AMLZ    殀
AML.    歾
AML,    殦
AMNK    殥
AMNM    殯
AMOP    殙
AMOV    殊
AMO.    殤
AMQ     死
AMRD    殢
